id,explanation_reporting,explanation_legal,explanation_stlt,explanation_norm,explanation_harm,explanation_kant,explanation_main,ethical_reporting,ethical_legal,ethical_stlt,ethical_norm,ethical_harm,ethical_kant,ethical_main,type,survey,current_policy_ethic,new_policy_ethic,current_policy_lying,new_policy_lying,current_policy_deceptive,new_policy_deceptive,current_policy_dishonest,new_policy_dishonest,current_policy_untruthful,new_policy_untruthful,recommend_new_policy,board_vote,age,race,race_other,gender,gender_other,study,gpa,risk_tolerance,political_affiliation,political_affiliation_other,cheating_answer,score_self_reported,score_true,score_20,score_20_truthful,male,business_econ,under_represented,cheating,misreporting,trust,model,temperature
29433,1.0,0.0,0.0,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,1.0,1.0,F,human,overreporting,3,3,4,3,4,3,4,3,4,3,No,Against,18,Asian,,Male,,finance+accounting,4.0,7,0.0,,star,,3,6.0,6.0,1.0,1.0,0.0,0.0,,0.0,,
29375,0.0,1.0,0.0,0.0,0.0,0.0,B,0.0,0.0,0.0,0.0,1.0,1.0,F,human,overreporting,4,2,3,3,2,4,5,1,5,1,Yes,In Favor,19,White,,Prefer not to say,,undecidedbusiness,,10,0.0,,No idea ,2,2,9.8,6.0,0.0,1.0,0.0,0.0,0.0,-3.8000000000000007,,
29728,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,E,human,overreporting,2,3,4,2,5,2,4,2,4,2,Yes,In Favor,21,Black or African American,,Male,,finance/entrepreneurship,3.7,7,-1.0,,star,10,3,10.0,7.0,1.0,1.0,1.0,0.0,7.0,-3.0,,
29450,0.0,0.0,1.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,4,2,3,2,4,2,4,2,4,2,No,Against,18,Asian,,Female,,marketing,,7,-1.0,,A comet,,2,8.0,6.0,0.0,1.0,0.0,0.0,,-2.0,,
29805,0.0,0.0,0.0,0.0,1.0,0.0,E,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,5,2,3,2,4,4,4,2,4,2,No,Against,20,White,,Male,,communicationdesign,3.97,7,0.0,,meteoroid,2,2,10.0,6.0,1.0,0.0,0.0,0.0,0.0,-4.0,,
29421,0.0,1.0,1.0,0.0,1.0,0.0,C,0.0,0.0,1.0,0.0,0.0,1.0,C,human,overreporting,3,3,4,3,3,3,3,3,3,3,Yes,In Favor,18,Asian,,Female,,business,,4,1.0,,？,6,3,,10.0,0.0,1.0,0.0,0.0,3.0,,,
29406,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,3,3,3,4,4,3,3,2,3,Yes,Abstain,18,White,,Male,,finance,,6,1.0,,U1 'Oumuamua,4,2,4.0,8.0,1.0,1.0,0.0,0.0,2.0,4.0,,
29394,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,D,human,overreporting,3,5,3,3,4,4,2,2,3,3,No opinion,Against,18,"Spanish, Hispanic, or Latino",,Male,,finance,4.0,7,-1.0,,Pluto,,3,8.0,6.0,1.0,1.0,1.0,0.0,,-2.0,,
29776,0.0,1.0,0.0,0.0,0.0,1.0,B,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,4,5,2,5,2,5,2,5,2,Yes,In Favor,20,White,,Male,,financeandcomputerscience,3.98,9,-1.0,,Meteor,10,7,10.0,8.0,1.0,1.0,0.0,0.0,3.0,-2.0,,
29658,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,2,4,2,4,4,4,2,4,2,Yes,In Favor,20,White,,Female,,english,3.86,7,-1.0,,sun,2,2,10.0,7.0,0.0,0.0,0.0,0.0,0.0,-3.0,,
29521,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,3,4,4,3,2,5,3,1,No,Against,18,Black or African American,,Female,,marketing,,4,-1.0,,Venus ,3,3,8.0,7.0,0.0,1.0,1.0,0.0,0.0,-1.0,,
29567,0.0,1.0,1.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,1.0,1.0,F,human,overreporting,2,5,4,2,4,2,4,2,4,2,Yes,In Favor,20,White,,Male,,"finance,marketing",3.72,5,1.0,,Oumuamua,10,6,10.0,9.0,1.0,1.0,0.0,1.0,4.0,-1.0,,
29447,0.0,1.0,1.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,3,3,3,3,3,3,3,3,3,Yes,Abstain,18,Asian,,Male,,unspecifiedbusiness,,7,0.0,,No idea,,6,10.0,10.0,1.0,1.0,0.0,0.0,,0.0,,
29641,0.0,0.0,0.0,0.0,1.0,0.0,E,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,4,4,1,4,1,4,1,4,1,No opinion,In Favor,20,White,,Female,,accounting,3.8,3,-1.0,,Comet,3,3,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,,
29436,0.0,0.0,0.0,0.0,1.0,0.0,E,0.0,0.0,0.0,0.0,1.0,1.0,F,human,overreporting,4,5,4,2,4,2,4,1,4,1,Yes,In Favor,18,White,,Male,,finance,3.9,8,1.0,,I don't know,3,3,7.0,6.0,1.0,1.0,0.0,0.0,0.0,-1.0,,
29799,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,4,4,2,4,2,4,2,4,2,Yes,In Favor,18,White,,Male,,marketing,3.52,7,-1.0,,HUBLE telescope,7,5,6.5,7.0,1.0,1.0,0.0,0.0,2.0,0.5,,
29546,0.0,1.0,0.0,0.0,0.0,0.0,B,0.0,0.0,0.0,0.0,1.0,1.0,F,human,overreporting,2,4,4,2,5,2,4,2,4,2,Yes,In Favor,18,Black or African American,,Female,,marketing,,6,0.0,,star,,0,2.0,10.0,0.0,1.0,1.0,0.0,,8.0,,
29338,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,4,4,3,4,2,4,2,4,2,Yes,Abstain,19,White,,Male,,undecidedbusiness,,8,-1.0,,the meteor that killed the dinosaurs,4,4,10.0,6.0,1.0,1.0,0.0,0.0,0.0,-4.0,,
29458,1.0,0.0,0.0,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,1.0,1.0,F,human,overreporting,2,4,4,2,4,2,4,2,4,2,No,Against,19,White,,Female,,marketing,,6,1.0,,I don’t know,1,1,3.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,,
29443,1.0,0.0,0.0,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,2,2,4,2,4,2,3,2,No,Against,18,White,,Female,,marketingandentrepreneurship,,6,-1.0,,a star?,5,5,7.0,6.0,0.0,1.0,0.0,0.0,0.0,-1.0,,
29573,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,4,3,1,4,1,4,1,4,1,Yes,In Favor,20,Black or African American,,Male,,architecture,3.4,8,-1.0,,Star,5,5,8.0,7.0,1.0,0.0,1.0,0.0,0.0,-1.0,,
29773,0.0,0.0,1.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,4,3,2,1,2,1,2,1,2,1,No,Against,22,Asian,,Male,,finance/econ,3.6,8,-1.0,,no idea,7,6,6.0,8.0,1.0,1.0,0.0,0.0,1.0,2.0,,
29363,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,1.0,1.0,F,human,overreporting,2,4,4,3,3,3,4,3,4,3,Yes,In Favor,19,Black or African American,,Female,,finance,3.0,5,-1.0,,Probably a rock/astroid,3,3,9.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,,
29335,0.0,0.0,0.0,0.0,1.0,0.0,E,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,2,2,3,2,3,2,4,4,2,No,Follow Consensus,18,Asian,,Female,,finance,4.0,5,-1.0,,asteriod,3,3,8.0,3.0,0.0,1.0,0.0,0.0,0.0,-5.0,,
29571,1.0,0.0,0.0,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,3,4,2,4,2,4,2,4,2,Yes,In Favor,22,White,,Female,,economics,3.5,7,0.0,,asteroid ,3,3,8.0,5.0,0.0,1.0,0.0,0.0,0.0,-3.0,,
29732,0.0,1.0,1.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,1.0,C,human,overreporting,2,3,4,2,4,3,2,1,3,1,Yes,Follow Consensus,21,White,,Male,,bucs,3.9,6,-1.0,,meteor,5,3,6.0,5.0,1.0,1.0,0.0,0.0,2.0,-1.0,,
29697,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,4,2,4,3,3,3,4,2,3,4,No opinion,Abstain,19,Black or African American,,Male,,marketingandosm,3.35,7,-1.0,,Star,,3,7.0,3.0,1.0,1.0,1.0,0.0,,-4.0,,
29454,0.0,0.0,0.0,0.0,1.0,0.0,E,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,4,3,3,2,4,4,5,4,5,2,No,Against,19,White,,Male,,finance,,6,0.0,,I don’t know,4,4,8.0,6.0,1.0,1.0,0.0,0.0,0.0,-2.0,,
29593,0.0,0.0,0.0,1.0,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,4,5,3,2,3,2,4,2,2,2,No,Follow Consensus,20,White,,Male,,finance,3.97,6,-1.0,,Meteor,3,3,10.0,7.0,1.0,1.0,0.0,0.0,0.0,-3.0,,
29815,0.0,1.0,0.0,0.0,0.0,0.0,B,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,1,5,4,3,5,2,5,2,5,2,Yes,In Favor,21,"White,Spanish, Hispanic, or Latino",,Male,,economicsandstrategy,3.8,5,-1.0,,astroid,4,4,10.0,8.0,1.0,1.0,1.0,0.0,0.0,-2.0,,
29377,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,5,4,1,4,2,4,2,4,2,Yes,In Favor,20,"White,Spanish, Hispanic, or Latino",,Male,,businessandcomputerscience,3.8,3,0.0,,A meteor? ,10,4,10.0,8.0,1.0,1.0,1.0,0.0,6.0,-2.0,,
29446,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,4,4,2,4,4,4,2,4,2,Yes,In Favor,19,Black or African American,,Male,,business,4.0,9,-1.0,,A shooting star,10,3,8.0,8.0,1.0,1.0,1.0,0.0,7.0,0.0,,
29587,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,4,4,2,4,4,4,2,4,2,Yes,In Favor,19,White,,Male,,marketing,3.75,7,1.0,,astroid,2,2,9.0,7.0,1.0,1.0,0.0,0.0,0.0,-2.0,,
29700,0.0,1.0,1.0,0.0,0.0,0.0,C,0.0,0.0,0.0,1.0,0.0,0.0,D,human,overreporting,2,5,3,2,4,1,5,1,5,1,Yes,In Favor,20,White,,Male,,"marketing,economicsandstrategy",4.0,7,-1.0,,"Logically, light, as I believe it is both massive and energetic? Does that quality as an object?",6,6,8.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,,
29819,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,1,3,5,3,5,4,5,4,5,4,Yes,Abstain,19,White,,Male,,financeandeconomics/strategy,3.53,6,1.0,,Moon ,10,2,9.0,7.0,1.0,1.0,0.0,0.0,8.0,-2.0,,
29130,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,4,3,3,4,4,5,4,4,4,4,No,Follow Consensus,20,Asian,,Female,,economics+computerscience,3.75,7,-1.0,,Star...,4,4,9.0,6.0,0.0,1.0,0.0,0.0,0.0,-3.0,,
29584,0.0,0.0,0.0,1.0,1.0,0.0,D,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,3,4,2,4,2,4,2,4,2,No,Follow Consensus,20,Asian,,Female,,finance,3.77,4,0.0,,Not sure,5,5,7.0,6.0,0.0,1.0,0.0,0.0,0.0,-1.0,,
29570,0.0,0.0,0.0,0.0,1.0,0.0,E,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,3,3,4,2,4,2,4,2,Yes,Abstain,19,White,,Female,,marketing,3.91,4,-1.0,,No idea,,1,8.0,5.0,0.0,1.0,0.0,0.0,,-3.0,,
29832,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,4,2,4,2,4,3,4,4,Yes,In Favor,20,"White,Asian",,Female,,marketing,3.9,6,-1.0,,meteor,4,4,9.0,7.0,0.0,1.0,0.0,0.0,0.0,-2.0,,
29661,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,human,overreporting,4,2,3,4,3,4,3,4,3,4,No,Against,20,Asian,,Male,,csfinance,3.93,6,0.0,Don't want to disclose,Sattelite,,2,5.0,5.0,1.0,1.0,0.0,0.0,,0.0,,
29663,0.0,0.0,0.0,0.0,1.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,4,3,4,3,4,3,4,3,Yes,In Favor,21,White,,Male,,finance,3.75,9,1.0,,An asteroid. ,3,3,8.0,6.0,1.0,1.0,0.0,0.0,0.0,-2.0,,
28643,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,3,1,4,2,4,2,4,2,Yes,In Favor,19,"White,Black or African American",,Female,,politicalstudy,3.9,6,1.0,,Star,,2,8.0,6.0,0.0,0.0,1.0,0.0,,-2.0,,
29659,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,2,1,4,2,4,1,4,1,Yes,In Favor,20,White,,Male,,finance,3.8,5,0.0,,comet,1,1,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,,
29331,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,3,2,4,3,4,3,5,4,Yes,Follow Consensus,18,"Spanish, Hispanic, or Latino",,Male,,finance,,7,1.0,,Meteor,3,3,7.0,6.0,1.0,1.0,1.0,0.0,0.0,-1.0,,
28952,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,3,3,3,4,2,2,4,4,4,Yes,In Favor,22,White,,Male,,finance,3.75,6,-1.0,,A star,10,3,8.0,7.0,1.0,1.0,0.0,0.0,7.0,-1.0,,
29390,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,4,3,4,3,3,3,4,3,3,3,Yes,In Favor,19,White,,Female,,businessmarketing,3.54,6,-1.0,,asteroid ,,1,3.0,1.0,0.0,1.0,0.0,0.0,,-2.0,,
29526,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,4,3,3,4,2,4,2,4,2,Yes,In Favor,18,White,,Male,,buisness,,8,1.0,,Don't know,,4,7.0,8.0,1.0,1.0,0.0,0.0,,1.0,,
29369,1.0,0.0,0.0,0.0,1.0,0.0,A,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,4,3,2,4,2,4,2,4,2,No,Against,20,Black or African American,,Male,,businessandcomputerscience,,6,-1.0,,omuamua,1,1,8.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,,
28708,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,4,2,3,4,4,2,4,2,4,2,Yes,Against,19,Asian,,Female,,finance,3.85,8,-1.0,,star,2,2,10.0,7.0,0.0,1.0,0.0,0.0,0.0,-3.0,,
29644,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,4,4,3,4,3,4,3,4,3,Yes,In Favor,23,Asian,,Male,,finance,3.9,7,1.0,,space debris,,3,7.0,9.0,1.0,1.0,0.0,0.0,,2.0,,
29420,0.0,0.0,0.0,0.0,1.0,1.0,F,0.0,0.0,0.0,0.0,1.0,1.0,F,human,overreporting,4,4,4,4,4,4,4,4,4,4,Yes,In Favor,19,Other,,Male,,finance,,8,0.0,,Asteroid,1,1,7.0,6.0,1.0,1.0,0.0,0.0,0.0,-1.0,,
29199,1.0,0.0,0.0,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,4,2,4,2,5,1,4,2,No,Against,19,"White,Spanish, Hispanic, or Latino",,Male,,marketing&finance,3.49,8,0.0,,a meteor,2,2,7.0,6.0,1.0,1.0,1.0,0.0,0.0,-1.0,,
29251,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,F,human,overreporting,4,4,4,3,2,4,4,3,3,4,No opinion,Follow Consensus,20,Asian,,Male,,finance,3.9,7,-1.0,,Don't know,,1,6.0,3.0,1.0,1.0,0.0,0.0,,-3.0,,
29714,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,E,human,overreporting,4,4,3,2,4,2,5,1,5,1,No,Against,19,Black or African American,,Male,,economics,3.89,7,-1.0,,human,10,4,9.0,6.0,1.0,1.0,1.0,0.0,6.0,-3.0,,
29555,0.0,0.0,0.0,0.0,1.0,0.0,E,1.0,0.0,0.0,0.0,1.0,0.0,E,human,overreporting,4,2,2,4,3,4,4,3,2,4,Yes,Against,18,Asian,,Female,,business,,6,-1.0,,comet,,3,8.0,6.0,0.0,1.0,0.0,0.0,,-2.0,,
29317,0.0,0.0,1.0,0.0,0.0,1.0,C,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,4,5,1,5,1,3,2,5,1,Yes,Follow Consensus,18,White,,Male,,finance,,6,1.0,,milky way ,10,3,8.0,8.0,1.0,1.0,0.0,0.0,7.0,0.0,,
29325,0.0,0.0,0.0,0.0,1.0,0.0,E,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,4,2,4,2,4,2,4,2,No opinion,Follow Consensus,18,Asian,,Female,,electricalengineering,3.57,4,-1.0,,shooting star,4,4,10.0,7.0,0.0,0.0,0.0,0.0,0.0,-3.0,,
29367,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,2,4,3,4,2,4,2,4,2,Yes,In Favor,20,White,,Female,,marketing,3.9,6,-1.0,,Sun,3,3,8.0,3.0,0.0,1.0,0.0,0.0,0.0,-5.0,,
29706,0.0,0.0,0.0,0.0,1.0,0.0,E,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,3,3,4,2,3,3,4,2,No,Against,20,"Spanish, Hispanic, or Latino",,Male,,marketing,3.29,6,-1.0,,Comet,,5,8.0,6.0,1.0,1.0,1.0,0.0,,-2.0,,
29510,0.0,0.0,0.0,1.0,1.0,0.0,E,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,3,2,3,4,3,3,4,3,No,Against,18,Asian,,Male,,businessandcomputerscience,4.0,7,1.0,,pluto,4,4,7.0,5.0,1.0,1.0,0.0,0.0,0.0,-2.0,,
29540,0.0,0.0,0.0,1.0,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,3,2,4,3,4,2,4,2,4,No opinion,Follow Consensus,18,White,,Male,,finance,,7,1.0,,Moon,4,4,9.0,7.0,1.0,1.0,0.0,0.0,0.0,-2.0,,
29422,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,3,3,2,4,4,4,2,4,2,Yes,In Favor,18,"Spanish, Hispanic, or Latino",,Female,,business,,6,1.0,,I dont know,5,3,6.0,5.0,0.0,1.0,1.0,0.0,2.0,-1.0,,
29371,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,3,2,3,3,4,2,4,2,Yes,In Favor,18,Asian,,Female,,finance,4.0,6,-1.0,,Satellite ,4,4,7.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,,
29553,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,4,1,4,1,4,1,4,1,Yes,In Favor,18,Black or African American,,Male,,financeandorganizationalandstrategicmanagement,,7,-1.0,,Meterorite,3,3,8.0,9.6,1.0,1.0,1.0,0.0,0.0,1.5999999999999996,,
29430,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,4,2,4,3,4,2,4,2,3,No,Against,18,"Black or African American,Spanish, Hispanic, or Latino",,Male,,finance,3.3,3,-1.0,,metal,10,3,10.0,6.0,1.0,1.0,1.0,0.0,7.0,-4.0,,
29797,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,3,4,2,4,2,4,2,4,2,Yes,In Favor,19,White,,Female,,economics,3.6,8,-1.0,,unsure,3,3,7.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,,
29509,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,human,overreporting,2,4,2,3,4,3,4,4,3,4,No,Against,19,Asian,,Female,,business,,6,-1.0,,Oumuamua,5,5,8.0,5.0,0.0,1.0,0.0,1.0,0.0,-3.0,,
29414,0.0,0.0,0.0,0.0,1.0,0.0,E,0.0,0.0,0.0,0.0,1.0,0.0,E,human,overreporting,4,2,2,4,2,4,4,4,3,4,No,Against,18,"White,Black or African American",,Female,,marketing,4.0,7,-1.0,,I don't know,4,4,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,,
29395,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,4,2,2,2,2,2,2,2,2,2,No,Against,19,Asian,,Female,,finance,4.0,5,0.0,,sun,,4,9.0,8.0,0.0,1.0,0.0,0.0,,-1.0,,
28912,0.0,0.0,1.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,5,5,1,5,1,5,1,5,1,Yes,In Favor,20,White,,Male,,"osm,econstrat",3.95,7,-1.0,,earth,7,7,10.0,5.0,1.0,1.0,0.0,0.0,0.0,-5.0,,
29735,1.0,0.0,0.0,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,1.0,1.0,F,human,overreporting,3,2,4,2,4,4,4,2,4,2,No,Follow Consensus,20,White,,Female,,osm,3.9,3,-1.0,,asteroids,5,5,8.0,7.0,0.0,1.0,0.0,0.0,0.0,-1.0,,
29643,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,human,overreporting,3,2,3,4,3,4,3,4,3,4,No,Against,21,White,,Male,,psychological&brainsciences,3.5,3,-1.0,,?,3,1,7.0,8.0,1.0,0.0,0.0,0.0,2.0,1.0,,
