Q104,Q104_4_TEXT,Q107,Q107_4_TEXT,Q11_1,Q11_2,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13,Q14,Q15,Q16,Q17,Q120,Q120_4_TEXT,Q123,Q123_4_TEXT,Q11_1,Q11_2,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13,Q14,Q15,Q16,Q17,Q1,Q5,Q5_7_TEXT,Q37,Q37_4_TEXT,Q38,Q39,Q40_1,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q42,Q42_4_TEXT,Q70,Q72,Q66,Q62,Q74,Q64,Q71,Q73,Q83,Q84,Q80,Q78,Q79,SC0,id,attemptCount,attemptCount2,Test score
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,3,Disagree,Neither agree or disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Yes,I would say yes but if it could be done with a lot of warning so investors can anticipate the change ,"It is ethical to report your exact earnings if possible. Although everyone knew company ABCs underreporting, it would still make more sense for them to have been completely honest from the start.",No,Against (retain current policy),19,White,,Male,,Undecided Business,freshman n/a,3,Agree,Neither agree or disagree,Disagree,Agree strongly,Disagree,Disagree,Neither agree or disagree,Agree,Democrat,,42,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,I don’t know,500,4,5,8,4,29435,0,0,4
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,3,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree strongly,Neither agree or disagree,Agree strongly,Neither agree or disagree,Yes,I would recommend the change because by misrepresenting the EPS the company may be at risk of a fine or legal action from the securities and exchange commission. ,"transparency is key in a reporting policy, and although it is unfortunate that with the new change in policy the smaller investors will be at a disadvantage, but it wouldn't have happened if they were transparent in the first place.",No questions,In Favor (adopt new policy),21,White,,Female,,Finance,3.7,8,Disagree,Disagree strongly,Disagree,Agree,Disagree,Disagree,Agree,Agree,Republican,,42,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",Black,90 minutes,Be a man without air for one day,"""Is the other guard lying?""",the unstoppable force moves through the immovable object without interacting with it,two or more countries press the button and nuclear annihilation occurs,a meteor,11,2,8,9,2,29698,0,0,2
$4.50 ,,$4.75 ,,3,5 (most ethical),Agree,Disagree strongly,Agree,Disagree strongly,Agree,Disagree strongly,Agree,Disagree strongly,Yes,People deserve to know the real data,I think either you tell your investor about the bias data or you have a non-biased data ,No questions,Against (retain current policy),,,,,,,,,,,,,,,,,,,,22,Asian,,Male,,marketing,3.82,7,Agree,Disagree,Disagree,Neither agree or disagree,Disagree strongly,Disagree strongly,Neither agree or disagree,Neither agree or disagree,Independent,,0,the traveler would not necessarily end up in the same place in (1) or (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the immovable object repels the unstoppable force,two or more countries press the button and nuclear annihilation occurs,idk,11,,6,8,2,29742,0,0,2
$4.50 ,,$4.75 ,,3,4,Agree,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,Disagree,Yes,"Making the change over to the new policy would set a precedent as an honest company with complete investor transparency. While some investors may be slower to adjust, the period of confusion would be worth it to adjust the returns to be truthful.",A truthful reporting policy is ethical if it tells investors the exact amount they receive in returns without needing prior knowledge or outside understanding of the company.,None,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,18,Other,,Female,,Business,3.7,4,Disagree,Neither agree or disagree,Agree,Disagree,Disagree,Neither agree or disagree,Agree,Agree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,I don't know,999,3,10-Jun,10-Apr,2,29403,0,0,2
$4.50 ,,$4.75 ,,2,4,Disagree,Disagree strongly,Neither agree or disagree,Disagree,Agree,Disagree strongly,Agree,Disagree strongly,Yes,"If the current policy is considered illegal and in violation of regulation, it would cause more harm in the longterm to the company if this was brought up during an important case or audit. Though it might initially harm the company's valuation when the policy is initially implemented, overtime, investor's will start changing their perception of the price in line with the policy.","Being truthful, complying with reporting regulations, and giving an accurate estimation of the company's value.",How long do they assume that it would take their investors and the market to adjust to the new policy? What is the cost to the company based on their forecast? What is the cost of keeping their current structure?,Follow the consensus,,,,,,,,,,,,,,,,,,,,20,"White,Asian,Spanish, Hispanic, or Latino",,Female,,Finance,3.54,4,Agree,Disagree,Agree,Neither agree or disagree,Agree,Disagree strongly,Disagree strongly,Neither agree or disagree,Democrat,,42,the traveler would necessarily end up in the same place in (1) and (2),White,60 minutes,Be a fish thrown in lava,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,oumuamua,1,6,4,7,6,29771,0,0,6
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,2,4,Agree strongly,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,"Listen to the lawyers, the downside of a lawsuit is likely worse than the retail investors getting upset that the company is not overperforming,",Transparent and clear reflections of internal numbers.,No,Abstain,18,White,,Male,,Entrepreneurship + Something Else,Don't know :( - Freshman,8,Agree,Disagree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Democrat,,42,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be an earthworm crushed in an industrial press,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,No clue,500,10,7,10,4,29401,0,0,4
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,4,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,The reporting is more accurate and will allow for better forecasting over time.,A reporting policy is ethical if it is accurate and not misleading to investors. I also think that management should be clear with investors at how to properly view their reporting.,No questions,In Favor (adopt new policy),19,White,,Male,,Finance,3.6,7,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neither agree or disagree,Independent,,100,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",White,90 minutes,Be an earthworm crushed in an industrial press,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,radiofrequencies like light,999,2,4,6,2,29329,0,0,2
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,2,4,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree strongly,Disagree,Agree strongly,Disagree,Yes,It is more ethical.,Honest reporting of earnings.,How will you let investors know that EPS reported is reflective of true EPS after the policy change?,In Favor (adopt new policy),20,"White,Asian",,Male,,Finance/Math/Economics,3.89,7,Agree strongly,Disagree,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Republican,,0,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the immovable object repels the unstoppable force,no country presses the button and the status-quo remains,Meteor,1,,3,6,3,29737,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,4,Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,Agree,Disagree,Agree,Disagree,No,"Consistent earnings, healthy investor relations, no need to change because so far nothing super bad is happening.","Personally, I would prefer earnings reports to actually be accurate and representative of business operational performance. They should not under report just to artificially beat earnings. To be ethical, they must report earnings accurately as possible.",No,Against (retain current policy),19,Asian,,Male,,Business Administration,3.7,8,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Republican,,42,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be a fish thrown in lava,There is no way of knowing the correct door.,the immovable briefly teleports out of the way to let the unstoppable force through,no country presses the button and the status-quo remains,A comet?,11,1,6,8,1,29346,0,0,1
$4.50 ,,$4.75 ,,3,4,Neither agree or disagree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Yes,I feel as though removing the bias will be the most moral and honest choice for the company.,I feel one that reveals information without any bias or influence is the most ethical,no questions,Follow the consensus,,,,,,,,,,,,,,,,,,,,18,White,,Female,,Marketing,n/a,6,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Disagree,Disagree,Disagree,Neither agree or disagree,Democrat,,100,the traveler would not necessarily end up in the same place in (1) or (2),Brown,60 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,meteor,500,4,6,8,4,29525,0,0,4
$4.50 ,,$4.75 ,,4,5 (most ethical),Agree,Disagree strongly,Disagree,Disagree,Agree,Disagree strongly,Agree,Disagree strongly,No,Because investors are already adjusting for perceived bias ,If every party is aware of what is happening,No questions ,Follow the consensus,,,,,,,,,,,,,,,,,,,,18,White,,Female,,Finance ,4.67,3,Agree,Agree strongly,Neither agree or disagree,Neither agree or disagree,Agree,Disagree strongly,Neither agree or disagree,Disagree,Democrat,,42,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",White,60 minutes,Be a common cold virus thrown into sulfuric acid,"""Which door would the other guard say leads to freedom?""",the immovable object repels the unstoppable force,two or more countries press the button and nuclear annihilation occurs,comet,500,,5 out of ten,10 out of 10,5,29432,0,0,5
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,1 (least ethical),5 (most ethical),Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Yes,"the new policy is more honest and truthful. it is the fault of the investors if they are misled when provided with accurate information. as a board member, that is not my problem.","ethical characteristics include being transparent and accurate... meanwhile, for a stakeholder, it is more important/ethical for a policy to have characteristics of clarity.",yes - i'd ask how the policy change would affect the company's cost of capital and ability to raise equity? how could management handle earnings guidance during a policy change and what would be the implications/required oversight?,In Favor (adopt new policy),20,"White,Asian",,Female,,finance,3.8,6,Agree strongly,Neither agree or disagree,Disagree,Agree strongly,Disagree,Disagree strongly,Neither agree or disagree,Neither agree or disagree,Democrat,,42,"the traveler would necessarily end up in the same place in (2), but not necessarily in (1)",Impossible to tell,90 minutes,Be a common cold virus thrown into sulfuric acid,"""Will you let me through the correct door?""",the immovable object repels the unstoppable force,two or more countries press the button and nuclear annihilation occurs,sun,11,,5,4,2,29792,0,0,2
$4.50 ,,$4.75 ,,3,3,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,No,An over-estimate is always fine as it provides the firm and investor some buffer space. ,An ethical policy is one that provides all the information necessary to an investor and firm or provides the opportunity for the information to be acquired. ,No,Against (retain current policy),,,,,,,,,,,,,,,,,,,,18,Asian,,Male,,Finance + Accounting,4,7,Agree strongly,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Other,N/A,10,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be a man without air for one day,"""Is the other guard lying?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,star,500,,6,6,3,29433,0,0,3
$4.50 ,,$4.75 ,,4,2,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Yes,Not a great idea to go against SEC guidelines and risk a lawsuit,It would need to be very transparent and everyone has a fair chance of understanding it. ,No Questions ,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,19,White,,Prefer not to say,,Undecided business ,Im a freshman...,10,Neither agree or disagree,Disagree strongly,Disagree,Agree,Disagree,Disagree,Disagree strongly,Neither agree or disagree,Independent,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the immovable object repels the unstoppable force,two or more countries press the button and nuclear annihilation occurs,No idea ,500,2,60%,98%,2,29375,0,0,2
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,5 (most ethical),Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Disagree,No,"Since the investors already think that the numbers are reported 50 cents below, even if I change the policy to record the actual earnings, they would still think that it is 50 cents below.",If the number difference has a large difference than I think that it would not be ethical.,No Questions,Against (retain current policy),17,Asian,,Female,,Finance,N/A,6,Neither agree or disagree,Disagree,Disagree,Neither agree or disagree,Disagree strongly,Disagree strongly,Disagree strongly,Neither agree or disagree,Republican,,42,the traveler would necessarily end up in the same place in (1) and (2),White,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the immovable briefly teleports out of the way to let the unstoppable force through,no country presses the button and the status-quo remains,Oumuamua,999,,8,8,6,29542,0,0,6
