A,B,C,D,E,F,most important category,id
No,No,No,No,No,Yes,F,29446
No,No,No,No,Yes,Yes,F,29336
No,No,No,No,No,Yes,F,29587
No,No,No,No,No,Yes,F,29345
No,No,No,No,No,Yes,F,29513
No,No,No,No,No,Yes,F,29711
No,No,No,Yes,No,No,D,29700
No,No,No,No,No,Yes,F,29819
No,No,No,No,No,Yes,F,29756
No,No,No,No,Yes,Yes,F,29739
No,No,No,No,No,Yes,F,29693
No,No,No,No,No,Yes,F,29130
No,No,No,No,No,Yes,F,29584
No,No,No,No,No,Yes,F,29353
No,No,No,No,No,Yes,F,29570
No,No,No,No,No,Yes,F,29832
No,No,No,No,Yes,Yes,F,29385
No,No,No,No,No,Yes,F,29656
No,No,No,No,No,No,None,29661
No,No,No,No,No,Yes,F,29663
No,No,No,Yes,No,No,D,28680
No,No,No,No,No,Yes,F,28643
No,No,No,No,No,Yes,F,29659
No,No,No,No,No,Yes,F,29793
No,No,No,No,No,Yes,F,28834
No,No,No,No,No,Yes,F,29331
No,No,No,No,No,Yes,F,28952
No,No,No,No,No,Yes,F,29652
No,No,No,No,No,Yes,F,29390
No,No,No,No,No,Yes,F,29313
No,No,No,No,No,Yes,F,29526
No,No,No,No,No,Yes,F,28705
No,No,No,No,No,Yes,F,29629
No,No,No,No,No,Yes,F,29369
No,No,No,No,No,Yes,F,28708
No,No,No,No,No,Yes,F,29757
No,No,No,No,No,Yes,F,29644
No,No,No,No,Yes,Yes,F,29789
No,No,No,No,Yes,Yes,F,29420
No,No,No,No,No,Yes,F,29630
No,No,No,No,No,Yes,F,29199
No,No,No,No,Yes,Yes,F,29251
No,No,No,No,No,Yes,F,29322
No,No,No,No,Yes,No,E,29714
No,No,No,No,No,Yes,F,29358
Yes,No,No,No,Yes,No,E,29555
No,No,No,No,No,Yes,F,29833
No,No,No,No,No,Yes,F,29415
No,No,No,No,No,Yes,F,29317
No,No,No,No,No,Yes,F,29325
No,No,No,No,No,Yes,F,29539
No,No,No,No,No,Yes,F,29367
No,No,No,No,No,Yes,F,29706
No,No,No,No,No,Yes,F,29574
No,No,No,No,No,Yes,F,29631
No,No,No,No,No,Yes,F,29510
Yes,No,No,No,No,No,A,29444
No,No,No,No,No,Yes,F,29540
No,No,No,No,No,Yes,F,29523
No,No,No,No,No,Yes,F,29422
No,No,No,No,No,Yes,F,29660
No,No,No,No,No,Yes,F,29371
No,No,No,No,No,Yes,F,29553
No,No,No,No,No,Yes,F,29376
No,No,No,No,No,Yes,F,29430
No,No,No,No,No,Yes,F,29547
No,No,No,No,No,Yes,F,29797
No,No,No,No,No,Yes,F,29328
No,No,No,No,No,No,None,29509
No,No,No,No,Yes,Yes,F,29518
No,No,No,No,No,Yes,F,29648
No,No,No,No,Yes,No,E,29414
No,No,No,No,No,Yes,F,29395
No,No,No,No,No,Yes,F,28912
No,No,No,Yes,No,Yes,F,29734
No,No,No,No,Yes,Yes,F,29735
No,No,No,No,No,Yes,F,29723
No,No,No,No,No,Yes,F,29205
No,No,No,No,No,No,None,29643
Yes,No,No,No,No,No,A,29393
No,No,No,No,No,Yes,F,29416
No,No,No,No,No,Yes,F,29535
No,No,No,No,No,Yes,F,29511
