A,B,C,D,E,F,most important category,model,survey,id
No,No,Yes,No,No,Yes,C,gemma2:9b,overreporting,40
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,41
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,42
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,43
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,44
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,45
No,Yes,Yes,No,No,Yes,F,gemma2:9b,overreporting,46
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,47
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,48
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,49
No,Yes,Yes,No,No,Yes,F,gemma2:9b,overreporting,50
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,51
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,52
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,53
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,54
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,55
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,56
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,57
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,58
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,59
No,Yes,Yes,No,No,Yes,F,gemma2:9b,overreporting,60
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,61
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,62
No,No,Yes,No,No,Yes,C,gemma2:9b,overreporting,63
No,No,Yes,No,No,Yes,C,gemma2:9b,overreporting,64
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,65
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,66
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,67
No,Yes,No,No,No,Yes,F,gemma2:9b,overreporting,68
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,69
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,70
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,71
No,Yes,No,No,No,Yes,F,gemma2:9b,overreporting,72
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,73
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,74
No,No,Yes,No,Yes,Yes,F,gemma2:9b,overreporting,75
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,76
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,77
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,78
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,79
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,80
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,81
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,82
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,83
No,Yes,Yes,No,No,Yes,F,gemma2:9b,overreporting,84
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,85
No,Yes,No,No,No,Yes,F,gemma2:9b,overreporting,86
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,87
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,88
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,89
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,90
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,91
No,No,Yes,No,Yes,Yes,F,gemma2:9b,overreporting,92
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,93
No,Yes,No,No,Yes,Yes,F,gemma2:9b,overreporting,94
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,95
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,96
No,Yes,Yes,No,No,Yes,F,gemma2:9b,overreporting,97
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,98
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,99
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,100
