A,B,C,D,E,F,G,model,survey,id
No,Yes,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,66
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,67
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,68
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,69
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,70
No,No,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,71
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,72
No,No,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,73
Yes,No,Yes,Yes,Yes,Yes,No,gemma2:27b,underreporting,74
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,75
No,No,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,76
No,No,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,77
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,78
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,79
No,Yes,Yes,No,No,No,Yes,gemma2:27b,underreporting,80
No,Yes,Yes,No,No,No,Yes,gemma2:27b,underreporting,81
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,82
No,No,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,83
No,No,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,84
No,No,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,85
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,86
No,No,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,87
No,No,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,88
No,No,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,89
No,No,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,90
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,91
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,92
No,No,Yes,No,No,No,Yes,gemma2:27b,underreporting,93
No,No,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,94
No,No,No,Yes,Yes,No,No,gemma2:27b,underreporting,95
No,No,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,96
Yes,No,Yes,Yes,Yes,No,No,gemma2:27b,underreporting,97
No,No,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,98
No,No,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,99
No,Yes,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,100
