A,B,C,D,E,F,G,model,survey,id
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,60
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,61
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,62
No,Yes,Yes,No,No,Yes,No,gpt-4o,underreporting,63
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,64
No,Yes,Yes,No,Yes,No,Yes,gpt-4o,underreporting,65
No,Yes,Yes,No,No,Yes,Yes,gpt-4o,underreporting,66
Yes,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,67
No,Yes,Yes,No,No,Yes,No,gpt-4o,underreporting,68
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,69
No,Yes,Yes,No,No,Yes,No,gpt-4o,underreporting,70
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,71
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,72
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,73
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,74
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,75
No,Yes,No,No,Yes,No,Yes,gpt-4o,underreporting,76
No,Yes,Yes,No,No,Yes,Yes,gpt-4o,underreporting,77
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,78
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,79
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,80
No,Yes,Yes,No,No,Yes,No,gpt-4o,underreporting,81
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,82
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,83
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,84
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,85
No,Yes,No,No,Yes,Yes,Yes,gpt-4o,underreporting,86
No,Yes,No,Yes,No,No,Yes,gpt-4o,underreporting,87
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,88
No,Yes,No,No,No,No,Yes,gpt-4o,underreporting,89
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,90
No,Yes,Yes,No,No,No,Yes,gpt-4o,underreporting,91
No,Yes,No,No,No,Yes,Yes,gpt-4o,underreporting,92
No,Yes,Yes,No,No,Yes,No,gpt-4o,underreporting,93
Yes,Yes,No,No,No,No,Yes,gpt-4o,underreporting,94
No,Yes,Yes,No,Yes,No,Yes,gpt-4o,underreporting,95
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,96
No,Yes,Yes,No,Yes,No,Yes,gpt-4o,underreporting,97
No,Yes,Yes,Yes,Yes,Yes,Yes,gpt-4o,underreporting,98
No,Yes,No,No,No,Yes,Yes,gpt-4o,underreporting,99
No,Yes,Yes,No,No,No,Yes,gpt-4o,underreporting,100
