A,B,C,D,E,F,G,model,survey,id
No,No,Yes,No,Yes,Yes,No,gemini-1.5-flash-8b,underreporting,45
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,underreporting,46
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,47
Yes,No,Yes,No,No,Yes,No,gemini-1.5-flash-8b,underreporting,48
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,underreporting,49
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-8b,underreporting,50
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,51
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,52
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,underreporting,53
No,No,Yes,No,No,No,No,gemini-1.5-flash-8b,underreporting,54
Yes,No,Yes,No,No,No,No,gemini-1.5-flash-8b,underreporting,55
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,underreporting,56
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-8b,underreporting,57
No,No,Yes,No,Yes,Yes,No,gemini-1.5-flash-8b,underreporting,58
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,59
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,60
Yes,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,underreporting,61
No,No,Yes,No,Yes,Yes,No,gemini-1.5-flash-8b,underreporting,62
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,63
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,64
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,65
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,66
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,underreporting,67
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,68
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,69
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,70
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,71
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,72
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,73
Yes,No,Yes,No,No,No,No,gemini-1.5-flash-8b,underreporting,74
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,75
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,76
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,77
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,underreporting,78
Yes,No,Yes,No,No,No,No,gemini-1.5-flash-8b,underreporting,79
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,underreporting,80
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,81
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,82
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,83
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,84
No,Yes,No,No,Yes,No,Yes,gemini-1.5-flash-8b,underreporting,85
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,86
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,underreporting,87
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,underreporting,88
Yes,No,No,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,89
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,underreporting,90
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,91
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-8b,underreporting,92
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,93
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,94
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,underreporting,95
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,underreporting,96
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,97
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,98
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-8b,underreporting,99
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,100
