A,B,C,D,E,F,G,model,survey,id
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,52
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-002,underreporting,53
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-002,underreporting,54
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,55
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-002,underreporting,56
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,57
No,Yes,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,58
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,59
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,60
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,61
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,62
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,63
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,64
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,65
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,66
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,67
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,68
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,69
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,70
No,Yes,Yes,No,Yes,Yes,No,gemini-1.5-flash-002,underreporting,71
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-002,underreporting,72
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-002,underreporting,73
No,Yes,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,74
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-002,underreporting,75
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,76
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,77
No,No,Yes,No,No,Yes,No,gemini-1.5-flash-002,underreporting,78
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,79
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,80
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-002,underreporting,81
No,No,Yes,No,No,No,No,gemini-1.5-flash-002,underreporting,82
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-002,underreporting,83
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-002,underreporting,84
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,85
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,86
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,87
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,88
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-002,underreporting,89
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-002,underreporting,90
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,91
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,92
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,93
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,94
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,95
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,96
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-002,underreporting,97
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,98
No,Yes,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,99
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,100
