A,B,C,D,E,F,G,model,survey,id
No,Yes,Yes,No,Yes,No,No,gemma2:2b,overreporting,45
Yes,No,Yes,Yes,No,Yes,No,gemma2:2b,overreporting,46
No,No,Yes,No,Yes,No,Yes,gemma2:2b,overreporting,47
No,No,Yes,No,Yes,No,No,gemma2:2b,overreporting,48
No,No,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,49
No,No,Yes,No,Yes,No,Yes,gemma2:2b,overreporting,50
No,Yes,No,Yes,No,No,Yes,gemma2:2b,overreporting,51
No,No,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,52
No,No,Yes,No,Yes,No,Yes,gemma2:2b,overreporting,53
No,Yes,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,54
No,No,Yes,No,Yes,No,Yes,gemma2:2b,overreporting,55
No,No,Yes,No,Yes,Yes,No,gemma2:2b,overreporting,56
No,No,Yes,No,Yes,Yes,Yes,gemma2:2b,overreporting,57
No,No,Yes,No,Yes,No,Yes,gemma2:2b,overreporting,58
No,No,Yes,No,Yes,No,Yes,gemma2:2b,overreporting,59
No,Yes,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,60
No,No,Yes,No,Yes,Yes,Yes,gemma2:2b,overreporting,61
No,No,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,62
No,No,No,No,Yes,No,Yes,gemma2:2b,overreporting,63
Yes,No,Yes,No,Yes,No,No,gemma2:2b,overreporting,64
No,No,Yes,No,No,No,No,gemma2:2b,overreporting,65
Yes,No,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,66
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:2b,overreporting,67
Yes,No,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,68
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:2b,overreporting,69
No,Yes,No,No,Yes,No,Yes,gemma2:2b,overreporting,70
No,No,Yes,No,Yes,No,No,gemma2:2b,overreporting,71
No,Yes,No,No,No,No,Yes,gemma2:2b,overreporting,72
No,No,Yes,No,No,No,No,gemma2:2b,overreporting,73
No,Yes,No,No,No,No,Yes,gemma2:2b,overreporting,74
No,Yes,Yes,No,No,No,Yes,gemma2:2b,overreporting,75
Yes,No,Yes,No,Yes,No,Yes,gemma2:2b,overreporting,76
Yes,No,Yes,Yes,No,No,Yes,gemma2:2b,overreporting,77
No,No,Yes,No,Yes,No,No,gemma2:2b,overreporting,78
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,overreporting,79
No,No,Yes,No,No,No,No,gemma2:2b,overreporting,80
No,No,Yes,No,Yes,No,No,gemma2:2b,overreporting,81
No,No,Yes,No,No,No,Yes,gemma2:2b,overreporting,82
Yes,No,No,Yes,Yes,No,No,gemma2:2b,overreporting,83
Yes,No,Yes,Yes,No,No,No,gemma2:2b,overreporting,84
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,overreporting,85
Yes,Yes,Yes,No,No,No,No,gemma2:2b,overreporting,86
No,No,Yes,No,Yes,Yes,No,gemma2:2b,overreporting,87
Yes,Yes,No,No,No,No,Yes,gemma2:2b,overreporting,88
No,No,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,89
No,No,Yes,No,No,Yes,No,gemma2:2b,overreporting,90
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,overreporting,91
No,No,Yes,No,Yes,No,No,gemma2:2b,overreporting,92
No,Yes,No,No,Yes,No,Yes,gemma2:2b,overreporting,93
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:2b,overreporting,94
No,Yes,Yes,No,Yes,No,No,gemma2:2b,overreporting,95
No,Yes,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,96
No,Yes,Yes,No,Yes,No,No,gemma2:2b,overreporting,97
Yes,No,Yes,No,No,Yes,No,gemma2:2b,overreporting,98
No,No,Yes,No,Yes,Yes,Yes,gemma2:2b,overreporting,99
Yes,No,Yes,No,Yes,No,No,gemma2:2b,overreporting,100
